Italy;US;Spain;Germany;Korea, South;India;date
0;1;0;0;1;0;2020-01-22
0;1;0;0;1;0;2020-01-23
0;2;0;0;2;0;2020-01-24
0;2;0;0;2;0;2020-01-25
0;5;0;0;3;0;2020-01-26
0;5;0;1;4;0;2020-01-27
0;5;0;4;4;0;2020-01-28
0;5;0;4;4;0;2020-01-29
0;5;0;4;4;1;2020-01-30
2;7;0;5;11;1;2020-01-31
2;8;1;8;12;1;2020-02-01
2;8;1;10;15;2;2020-02-02
2;11;1;12;15;3;2020-02-03
2;11;1;12;16;3;2020-02-04
2;11;1;12;19;3;2020-02-05
2;11;1;12;23;3;2020-02-06
3;11;1;13;24;3;2020-02-07
3;11;1;13;24;3;2020-02-08
3;11;2;14;25;3;2020-02-09
3;11;2;14;27;3;2020-02-10
3;12;2;16;28;3;2020-02-11
3;12;2;16;28;3;2020-02-12
3;13;2;16;28;3;2020-02-13
3;13;2;16;28;3;2020-02-14
3;13;2;16;28;3;2020-02-15
3;13;2;16;29;3;2020-02-16
3;13;2;16;30;3;2020-02-17
3;13;2;16;31;3;2020-02-18
3;13;2;16;31;3;2020-02-19
3;13;2;16;104;3;2020-02-20
20;15;2;16;204;3;2020-02-21
62;15;2;16;433;3;2020-02-22
155;15;2;16;602;3;2020-02-23
229;15;2;16;833;3;2020-02-24
322;15;6;17;977;3;2020-02-25
453;15;13;27;1261;3;2020-02-26
655;16;15;46;1766;3;2020-02-27
888;16;32;48;2337;3;2020-02-28
1128;24;45;79;3150;3;2020-02-29
1694;30;84;130;3736;3;2020-03-01
2036;53;120;159;4335;5;2020-03-02
2502;73;165;196;5186;5;2020-03-03
3089;104;222;262;5621;28;2020-03-04
3858;174;259;482;6088;30;2020-03-05
4636;222;400;670;6593;31;2020-03-06
5883;337;500;799;7041;34;2020-03-07
7375;451;673;1040;7314;39;2020-03-08
9172;519;1073;1176;7478;43;2020-03-09
10149;711;1695;1457;7513;56;2020-03-10
12462;1109;2277;1908;7755;62;2020-03-11
15113;1561;2277;2078;7869;73;2020-03-12
17660;2157;5232;3675;7979;82;2020-03-13
21157;2870;6391;4585;8086;102;2020-03-14
24747;2968;7798;5795;8162;113;2020-03-15
27980;4360;9942;7272;8236;119;2020-03-16
31506;6141;11748;9257;8320;142;2020-03-17
35713;8917;13910;12327;8413;156;2020-03-18
41035;14157;17963;15320;8565;194;2020-03-19
47021;19479;20410;19848;8652;244;2020-03-20
53578;25825;25374;22213;8799;330;2020-03-21
59138;33761;28768;24873;8961;396;2020-03-22
63927;43850;35136;29056;8961;499;2020-03-23
69176;54112;39885;32986;9037;536;2020-03-24
74386;66055;49515;37323;9137;657;2020-03-25
80589;84091;57786;43938;9241;727;2020-03-26
86498;102276;65719;50871;9332;887;2020-03-27
92472;122069;73235;57695;9478;987;2020-03-28
97689;141205;80110;62095;9583;1024;2020-03-29
101739;162707;87956;66885;9661;1251;2020-03-30
105792;188724;95923;71808;9786;1397;2020-03-31
110574;214205;104118;77872;9887;1998;2020-04-01
115242;244610;112065;84794;9976;2543;2020-04-02
119827;276547;119199;91159;10062;2567;2020-04-03
124632;309699;126168;96092;10156;3082;2020-04-04
